sub_industry,ig_code,ig_name
multi-line insurance,4030,Insurance
property and casualty insurance,4030,Insurance
reinsurance,4030,Insurance
application software,4510,Software and Services
systems software,4510,Software and Services
it consulting and other services,4510,Software and Services
internet services and infrastructure,4510,Software and Services
interactive media and services,5020,Media and Entertainment
interactive home entertainment,5020,Media and Entertainment
communications equipment,4520,Technology Hardware and Equipment
"technology hardware, storage and peripherals",4520,Technology Hardware and Equipment
"electronic equipment, instruments and components",4520,Technology Hardware and Equipment
electronic manufacturing services,4520,Technology Hardware and Equipment
electronic components,4520,Technology Hardware and Equipment
electronic equipment and instruments,4520,Technology Hardware and Equipment
technology distributors,4520,Technology Hardware and Equipment
semiconductor materials and equipment,4530,Semiconductors and Semiconductor Equipment
semiconductors,4530,Semiconductors and Semiconductor Equipment
diversified telecommunication services,5010,Telecommunication Services
wireless telecommunication services,5010,Telecommunication Services
advertising,5020,Media and Entertainment
broadcasting,5020,Media and Entertainment
cable and satellite,5020,Media and Entertainment
movies and entertainment,5020,Media and Entertainment
publishing,5020,Media and Entertainment
electric utilities,5510,Utilities
gas utilities,5510,Utilities
multi-utilities,5510,Utilities
water utilities,5510,Utilities
independent power and renewable electricity producers,5510,Utilities
diversified reits,6010,Equity Real Estate Investment Trusts (REITs)
industrial reits,6010,Equity Real Estate Investment Trusts (REITs)
hotel and resort reits,6010,Equity Real Estate Investment Trusts (REITs)
office reits,6010,Equity Real Estate Investment Trusts (REITs)
health care reits,6010,Equity Real Estate Investment Trusts (REITs)
residential reits,6010,Equity Real Estate Investment Trusts (REITs)
retail reits,6010,Equity Real Estate Investment Trusts (REITs)
data center reits,6010,Equity Real Estate Investment Trusts (REITs)
telecommunications reits,6010,Equity Real Estate Investment Trusts (REITs)
self-storage reits,6010,Equity Real Estate Investment Trusts (REITs)
timber reits,6010,Equity Real Estate Investment Trusts (REITs)
specialty reits,6010,Equity Real Estate Investment Trusts (REITs)
diversified real estate activities,6020,Real Estate Management and Development
real estate operating companies,6020,Real Estate Management and Development
real estate development,6020,Real Estate Management and Development
real estate services,6020,Real Estate Management and Development
health care equipment,3510,Health Care Equipment and Services
health care supplies,3510,Health Care Equipment and Services
health care distributors,3510,Health Care Equipment and Services
health care services,3510,Health Care Equipment and Services
health care facilities,3510,Health Care Equipment and Services
health care providers and services,3510,Health Care Equipment and Services
managed health care,3510,Health Care Equipment and Services
pharmaceuticals,3520,Pharmaceuticals Biotechnology and Life Sciences
biotechnology,3520,Pharmaceuticals Biotechnology and Life Sciences
life sciences tools and services,3520,Pharmaceuticals Biotechnology and Life Sciences
industrial machinery and supplies and components,2010,Capital Goods
construction machinery and heavy transportation equipment,2010,Capital Goods
asset management and custody banks,4020,Financial Services
paper and plastic packaging products and materials,1510,Materials
agricultural products and services,1510,Materials
silver,1510,Materials
multi-family residential reits,6010,Equity Real Estate Investment Trusts (REITs)
single-family residential reits,6010,Equity Real Estate Investment Trusts (REITs)
net lease reits,6010,Equity Real Estate Investment Trusts (REITs)
gaming reits,6010,Equity Real Estate Investment Trusts (REITs)
lodging reits,6010,Equity Real Estate Investment Trusts (REITs)
self storage reits,6010,Equity Real Estate Investment Trusts (REITs)
beverages,3020,Food Beverage and Tobacco
"independent power producers, energy traders and pipeline operators",1010,Energy
discount stores,2540,Broadline Retail
specialty business services,2020,Commercial and Professional Services
staffing and employment services,2020,Commercial and Professional Services
rental and leasing services,2020,Commercial and Professional Services
scientific and technical instruments,4520,Technology Hardware and Equipment
computer hardware,4520,Technology Hardware and Equipment
soft drinks and non-alcoholic beverages,3020,Food Beverage and Tobacco
consumer finance,4020,Financial Services
telecom tower reits,6010,Equity Real Estate Investment Trusts (REITs)
cargo ground transportation,2030,Transportation
casinos and gaming,2530,Consumer Services
integrated telecommunication services,5010,Telecommunication Services
health care technology,3510,Health Care Equipment and Services
automotive parts and equipment,2520,Consumer Durables and Apparel
other specialized reits,6010,Equity Real Estate Investment Trusts (REITs)
food distributors,3010,Consumer Staples Distribution and Retail
passenger ground transportation,2030,Transportation
